drink_name,drink_percent,drink_picture,drink_calories,drink_congener,drink_type1,drink_type2,drink_type1_ml,drink_type2_ml
beer,5,guiness.png,408,1,1/2 pint,1 pint,284,568
cider,5,cider.png,350,1,1/2 pint,1 pint,284,568
champagne,12,champagne.png,712,5,1/2 glass,1 glass,67.5,125
white_wine,12,white_wine.png,840,5,standard glass,large glass,175,250
red_wine,12,red_wine.png,840,8,standard glass,large glass,175,250
gin,37.5,gin.png,2080,3,1 shot,2 shots,25,50
vodka,37.5,vodka.png,2080,2,1 shot,2 shots,25,50
tequilla,37.5,tequilla.png,2080,4,1 shot,2 shots,25,50
rum,40,rum.png,2440,7,1 shot,2 shots,25,50
whiskey,40,whiskey.png,2440,6,1 shot,2 shots,25,50
alcopops,4,alcopops.png,615,3,1/2 pint ,1 pint,284,568
cream_liqueur,17,baileys.png,3500,3,1 shot ,2 shots,25,50
water,0,water.png,0,-2,1 bottle,1 large bottle,250,500
soft_drink,0,coke.png,139,-2,1/2 pint,pint,284,568
